name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,conversion

weapn_beretta2023_silencer_shot_npc,,weps/beretta2023/shot/wpn_beretta2023_silencer_shot_plr.wav,0.42,0.44,wpnai,0.85,0.95,35,2000,weapon,,,,0.7,all_mp,,,,weapon4,
weapn_beretta2023_silencer_shot_plr,,weps/beretta2023/shot/wpn_beretta2023_silencer_shot_plr.wav,0.5,0.6,wpnplyr,0.75,0.85,500000,,local,,,,0.85,,,,,weapon2,,,,


fly_beretta93r_hammer,,weps/beretta2023/reload/fly_beretta2023_hammer.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,

fly_beretta93r_slide_forward,,weps/beretta2023/reload/fly_beretta2023_slide_forward.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,

fly_beretta93r_mag_out,,weps/beretta2023/reload/fly_beretta2023_mag_out.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,

fly_beretta93r_futz,,weps/beretta2023/reload/fly_beretta2023_futz.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,

fly_beretta93r_mag_in,,weps/beretta2023/reload/fly_beretta2023_mag_in.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,









